2017-01-01,365,20
3,Starboy,The Weeknd,1064931,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-03,us
4,Closer,The Chainsmokers,857394,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-03,us
5,Black Beatles,Rae Sremmurd,769249,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-03,us
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,755512,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-03,us
7,Bad Things (with Camila Cabello),Machine Gun Kelly,706107,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-03,us
8,Caroline,Aminé,702976,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc,2017-01-03,us
9,Bounce Back,Big Sean,691574,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,2017-01-03,us
10,I Feel It Coming,The Weeknd,644850,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-03,us
11,Broccoli (feat. Lil Yachty),DRAM,596901,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,2017-01-03,us
12,Let Me Love You,DJ Snake,562724,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-03,us
13,Don't Wanna Know,Maroon 5,561464,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-03,us
14,Deja Vu,J. Cole,541988,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,2017-01-03,us
15,24K Magic,Bruno Mars,527923,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-03,us
16,X (feat. Future),21 Savage,527040,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,2017-01-03,us
17,Starving,Hailee Steinfeld,523866,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-03,us
18,One Dance,Drake,512037,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-03,us
19,Say You Won't Let Go,James Arthur,511102,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-03,us
20,In the Name of Love,Martin Garrix,498367,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-03,us
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1293486,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-04,us
2,Fake Love,Drake,1179471,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-04,us
3,Starboy,The Weeknd,1086272,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-04,us
4,Closer,The Chainsmokers,856349,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-04,us
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,803439,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-04,us
